dataset,train_n,classes,balance,average_holdOut_BBC,average_pooled_lower,pooled_uniformity,pooled_0.95_CI_inclusion,average_fold_lower,fold_uniformity,fold_0.95_CI_inclusion,average_holdOut_validation,average_holdOut_evaluation,average_DeLong_lower,DeLong_0.95_CI_inclusion,average_HanleyMcNeil_lower,HanleyMcNeil_0.95_CI_inclusion,average_bt_lower,bt_0.95_CI_inclusion,average_DeLong10p_lower,DeLong10p_0.95_CI_inclusion,average_HanleyMcNeil10p_lower,HanleyMcNeil10p_0.95_CI_inclusion,average_bt10p_lower,bt10p_0.95_CI_inclusion,average_mabt_lower,mabt_0.95_CI_inclusion
cifar-10-small,500,10,0.09685,0.6047917536530228,0.6165343216061592,1.2844477566746677e-29,0.43,0.6128026654521624,1.2844477566746677e-29,0.41,,,,,,,,,,,,,,,,
dataset_28_optdigits,50,10,0.09857651245551602,0.9288876875657591,0.747350039742887,0.04486072168545311,0.95,0.7529166731672983,0.34628427810923607,0.92,,,,,,,,,,,,,,,,
dataset_31_credit-g,50,2,0.3,0.6430833923816681,0.4049589097499847,0.6374326972112386,0.95,0.42052778078118963,0.009245391241487341,0.95,0.6209998160600663,0.6270011627674102,0.3915202695457759,0.8620689655172413,0.550276437592323,0.69,0.8509865382217234,0.1111111111111111,0.6073847924072602,0.5517241379310345,0.8202682988937853,0.09,0.7258062923758132,0.2054794520547945,0.7440651000748225,0.18518518518518517
dataset_32_pendigits,50,10,0.09597889374090247,0.8568963291350034,0.6859726879745722,0.019839256826617014,0.82,0.7005555611414215,0.000768039669875342,0.81,,,,,,,,,,,,,,,,
dataset_44_spambase,50,2,0.39404477287546186,0.8958712482452392,0.7034222260117531,0.019839256826617083,0.97,0.730125000891586,0.49391774651124765,0.93,0.8893439710140228,0.874114716053009,0.686631265218943,0.8,0.7038531193089842,0.8,0.7436583973779386,0.8354430379746836,0.8572145036647235,0.37,0.9071681801070846,0.33,0.6808714730053144,0.9512195121951219,0.6996462335796387,0.9310344827586207
electricity-normalized,500,2,0.4245453742937853,0.8587250971794128,0.8112347739934921,0.0003986329077546895,0.99,0.810921084721883,0.0007680396698753403,0.97,0.8575318098068238,0.8557051861286163,0.7915072146589188,0.97,0.7930054021972112,0.97,0.7831053436209504,0.99,0.7540320854084479,0.99,0.8068090993635285,0.94,0.726250433954495,1.0,0.7715103803973173,0.99
mozilla4,500,2,0.3285944033451271,0.9503430634737015,0.9198168438673019,0.7763633800874631,0.97,0.9190920285185179,0.08469275574331513,0.94,0.9494992560148239,0.9500299590826035,0.9083196376776076,0.85,0.920169548865365,0.82,0.8941532065330806,0.91,0.8948656776507299,0.84,0.9326725493733236,0.71,0.8532665903600164,0.9797979797979798,0.8949260474620312,0.9090909090909091
musk,50,2,0.1541376174598363,0.9999992895126343,0.9858386617898941,6.470978334582508e-116,0.97,1.0,6.470978334582508e-116,0.93,,,,,,,,,,,,,,,,
php88ZB4Q,50,6,0.13651810855422858,0.6628795788641111,0.5361822034046054,6.043372375546849e-11,0.78,0.5443312544425329,6.280253543489148e-13,0.75,,,,,,,,,,,,,,,,
php8Mz7BG,50,2,0.2934863064396743,0.7552320694923401,0.5337076199054718,0.4305934546106314,0.93,0.5527673654307922,0.0007680396698753438,0.91,0.7296989995241165,0.7304638835787773,0.4639438164993197,0.8666666666666667,0.45555391543162244,0.87,0.8049202050264552,0.36904761904761907,0.6422436639932252,0.5866666666666667,0.7913100034835846,0.41,0.7348223121040919,0.5423728813559322,0.749685257335257,0.5238095238095238
phpDYCOet,500,2,0.2856230958943856,0.9791109681129455,0.9621753805875778,0.03582528726918726,0.97,0.9617702803313734,0.10331653831438883,0.97,0.9789660841226577,0.9788774925470353,0.9590828835014733,0.85,0.9594526399596752,0.89,0.9505666635651613,0.95,0.9566471404534993,0.88,0.968290206719562,0.78,0.930493802924143,1.0,0.9423474811086141,1.0
phpMawTba,500,2,0.23928176569346055,0.8905338102579117,0.8508977854251861,0.10331653831438876,1.0,0.8511203765840759,0.23317130342512551,0.99,0.8872832846641541,0.8900890660285949,0.8404723560183947,0.91,0.827318354621077,0.94,0.8306516335768893,0.91,0.8216106950240971,0.95,0.850543088500615,0.92,0.7903842473092193,0.98,0.8285998886033685,0.95
phpV5QYya,50,2,0.44305744007236547,0.9393061512708664,0.8073998808860778,0.18037827282938912,0.96,0.8310833322033286,0.01548312362580324,0.9,0.9263347899913787,0.9343784594535828,0.7773498096195371,0.64,0.8104389250939025,0.64,0.7262335723304476,0.8939393939393939,0.9387189307977973,0.24,0.9643311957261844,0.22,0.6529524652777778,1.0,0.6704668712797619,0.9375
phpkIxskf,500,2,0.11698480458295547,0.866206533908844,0.8054541981220246,0.18037827282939,0.93,0.8042297089745601,0.37297404837101716,0.93,0.8666931676864624,0.8708534300327301,0.8008541525014949,0.82,0.7780506103582221,0.92,0.7860655542331166,0.87,0.7892230913575924,0.89,0.8156238048369913,0.83,0.7636289281604686,0.94,0.7613775037948063,0.9090909090909091
phplE7q6h,500,2,0.4487983978638184,0.7911208826303482,0.7391339629888535,0.11383366808143215,0.92,0.7273348597288131,0.06209393891980401,0.93,0.7895125526189805,0.7870762020349502,0.7187388830423914,0.87,0.7248167020816667,0.88,0.7113548723612719,0.91,0.6819214451741891,0.99,0.7480089676100086,0.79,0.6589604312857797,0.98,0.6841379371800556,0.97
