,dataset,average_performance,inclusion_norm,tightness_norm,inclusion_boot,tightness_boot
0,dataset_31_credit-g,0.6430833923816681,0.34,-0.05011086554634814,0.37,-0.04545827428499849
1,dataset_44_spambase,0.8958712482452392,0.35,-0.02453627856568963,0.38,-0.019878751754760837
2,electricity-normalized,0.8587250971794128,0.89,0.02346854797137199,0.9,0.023505178961341744
3,mozilla4,0.9503430634737015,0.75,0.00897248677079554,0.76,0.009394576659189524
4,musk,0.9999992895126343,0.0,-7.104873657182154e-07,0.0,-7.104873657182154e-07
5,php8Mz7BG,0.7552320694923401,0.27,-0.04389341612456632,0.28,-0.0388720971743266
6,phpDYCOet,0.9791109681129455,0.71,0.0033061805564050806,0.7,0.003698897062303197
7,phpMawTba,0.8905338102579117,0.65,0.010212983847098234,0.66,0.010346310257911662
8,phpV5QYya,0.9393061512708664,0.4,-0.008971858479330241,0.44,-0.00540218206246712
9,phpkIxskf,0.866206533908844,0.58,0.0032958497241608598,0.59,0.003830313370123406
10,phplE7q6h,0.7911208826303482,0.81,0.025301680767905732,0.83,0.025439375530362685
