,dataset,DeLong,Hanley_McNeil,bt,DeLong_10p,Hanley_McNeil_10p,bt_10p,mabt
0,alpha_24_beta_6_samples_500_config_100_balance_0.1_classes_2.csv,0,0,0,0,0,0,0
1,alpha_24_beta_6_samples_500_config_100_balance_equal_classes_2.csv,0,0,0,0,0,0,0
2,alpha_24_beta_6_samples_500_config_500_balance_0.1_classes_2.csv,0,0,0,0,0,0,0
3,alpha_24_beta_6_samples_500_config_500_balance_equal_classes_2.csv,0,0,0,0,0,0,0
4,alpha_24_beta_6_samples_50_config_100_balance_equal_classes_2.csv,0,0,38,0,0,167,180
5,alpha_24_beta_6_samples_50_config_500_balance_equal_classes_2.csv,0,0,32,0,0,200,200
6,alpha_9_beta_6_samples_500_config_100_balance_0.1_classes_2.csv,0,0,0,0,0,0,0
7,alpha_9_beta_6_samples_500_config_100_balance_equal_classes_2.csv,0,0,0,0,0,0,0
8,alpha_9_beta_6_samples_500_config_500_balance_0.1_classes_2.csv,0,0,0,0,0,0,0
9,alpha_9_beta_6_samples_500_config_500_balance_equal_classes_2.csv,0,0,0,0,0,0,0
10,alpha_9_beta_6_samples_50_config_100_balance_equal_classes_2.csv,0,0,25,0,0,49,71
11,alpha_9_beta_6_samples_50_config_500_balance_equal_classes_2.csv,0,0,35,0,0,167,180
